source,basis,month,dimension,value,records,domain_days,domains_peak,measured_days
afrinic,reverse,2013-01,algorithm_ds,5,1,1,1,1
afrinic,reverse,2013-01,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-01,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2013-01,all,all,21400,21351,21351,1
afrinic,reverse,2013-01,digest_type_ds,1,25,13,13,1
afrinic,reverse,2013-01,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-01,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2013-01,rr_type,DS,49,13,13,1
afrinic,reverse,2013-01,rr_type,NS,21351,21351,21351,1
afrinic,reverse,2013-01,rr_type,_total,21400,21351,21351,1
afrinic,reverse,2013-01,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2013-01,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-01,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2013-02,algorithm_ds,5,1,1,1,1
afrinic,reverse,2013-02,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-02,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2013-02,all,all,21340,21291,21291,1
afrinic,reverse,2013-02,digest_type_ds,1,25,13,13,1
afrinic,reverse,2013-02,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-02,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2013-02,rr_type,DS,49,13,13,1
afrinic,reverse,2013-02,rr_type,NS,21291,21291,21291,1
afrinic,reverse,2013-02,rr_type,_total,21340,21291,21291,1
afrinic,reverse,2013-02,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2013-02,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-02,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2013-03,algorithm_ds,5,1,1,1,1
afrinic,reverse,2013-03,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-03,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2013-03,all,all,21218,21169,21169,1
afrinic,reverse,2013-03,digest_type_ds,1,25,13,13,1
afrinic,reverse,2013-03,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-03,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2013-03,rr_type,DS,49,13,13,1
afrinic,reverse,2013-03,rr_type,NS,21169,21169,21169,1
afrinic,reverse,2013-03,rr_type,_total,21218,21169,21169,1
afrinic,reverse,2013-03,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2013-03,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-03,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2013-04,algorithm_ds,5,1,1,1,1
afrinic,reverse,2013-04,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-04,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2013-04,all,all,21596,21547,21547,1
afrinic,reverse,2013-04,digest_type_ds,1,25,13,13,1
afrinic,reverse,2013-04,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-04,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2013-04,rr_type,DS,49,13,13,1
afrinic,reverse,2013-04,rr_type,NS,21547,21547,21547,1
afrinic,reverse,2013-04,rr_type,_total,21596,21547,21547,1
afrinic,reverse,2013-04,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2013-04,sha1_signing_ds,other,48,12,12,1
