cve,published,scope,mechanism,rfc,project,role,fix_version,fix_release_date,commit_date,days_from_publication_to_release,released_before_publication,commit_subject
CVE-2026-50045,2026-07-22,dnssec,dnssec-other,RFC 4033,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-50045.
CVE-2026-50046,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-50046, Possible heap use-after-free in an error path   when a DoT forwarded query is jostled out. Thanks to Qifan Zhang,   Palo Alto Ne"
CVE-2026-50243,2026-07-22,dnssec,rrsig,RFC 4035,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-50243.
CVE-2026-50248,2026-07-22,dnssec,rrsig,RFC 4035,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,"- Fix error in log printout in fix for CVE-2026-50248, when the   primary name is bogus."
CVE-2026-50251,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-50251, Attacker supplied `0.0.0.0`/`::` glue triggers   defensive full-cache flush. Thanks to Qifan Zhang, Palo Alto   Networks, for th"
CVE-2026-50252,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-50252, Possible cache poisoning attack by mapping   source port population per thread. Thanks to Inbal Schussheim and   Amit Klein, Heb"
CVE-2026-52863,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-52863, Memory corruption could lead to crash and   denial of service. Thanks to Qifan Zhang, Palo Alto Networks,   for the report."
CVE-2026-54478,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-54478, DNS Cookie bypass when combined with   proxy-protocol use. Thanks to Qifan Zhang, Palo Alto Networks,   for the report."
CVE-2026-55708,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-55708, Privacy/configuration issue when adding local   data in views through 'unbound-control'. Thanks to Qifan Zhang,   Palo Alto Netw"
CVE-2026-55717,2026-07-22,dns,,,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-55717.
CVE-2026-55973,2026-07-22,dns,,,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-55973.
CVE-2026-55990,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-55990, Packet of death for a DNSCrypt misconfigured   Unbound. Thanks to Qifan Zhang, Palo Alto Networks, for the report."
CVE-2026-55991,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-55991, Remote DNS-over-QUIC (DoQ) flow-control   assertion failure in libngtcp2. Thanks to Qifan Zhang, Palo Alto   Networks, for the r"
CVE-2026-56416,2026-07-22,dnssec,rrsig,RFC 4035,Unbound,resolver,1.26.0,2026-07-24,2026-07-22,2,False,- Unit test for CVE-2026-56416.
CVE-2026-56444,2026-07-22,dns,,,Unbound,resolver,1.25.2,2026-07-22,2026-07-22,0,False,"- Fix CVE-2026-56444, Degradation of resolution service when   'discard-timeout' and 'serve-expired-client-timeout' are combined in   unusual configur"
CVE-2026-5946,2026-05-20,dns,,,BIND 9,both,9.20.26,2026-07-20,2026-03-11,61,False,Document that non-IN RR class issues are out of CVE scope
CVE-2026-5947,2026-05-20,dns,,,BIND 9,both,9.21.22,2026-05-08,2026-05-01,-12,True,[CVE-2026-5947] sec: usr: Fix crash in resolver when SIG(0)-signed responses are received under load
CVE-2026-5950,2026-05-20,dns,,,BIND 9,both,,,2026-04-30,,,[v9_11] [CVE-2026-5950] sec: usr: Avoid unbounded recursion loop
