project,version,released,month,in_corpus_span,changes_in_window,window_months,corpus_median_window
bind9,9.18.14,2023-04-11,2023-04,True,329,3,229
bind9,9.16.41,2023-05-09,2023-05,True,294,3,229
bind9,9.18.15,2023-05-09,2023-05,True,294,3,229
bind9,9.16.42,2023-06-09,2023-06,True,253,3,229
bind9,9.18.16,2023-06-09,2023-06,True,253,3,229
bind9,9.18.17,2023-07-06,2023-07,True,219,3,229
bind9,9.16.43,2023-08-04,2023-08,True,291,3,229
bind9,9.18.18,2023-08-04,2023-08,True,291,3,229
bind9,9.16.44,2023-09-08,2023-09,True,296,3,229
bind9,9.18.19,2023-09-11,2023-09,True,296,3,229
bind9,9.16.45,2023-11-09,2023-11,True,329,3,229
bind9,9.18.20,2023-11-09,2023-11,True,329,3,229
bind9,9.18.21,2023-12-08,2023-12,True,339,3,229
bind9,9.16.48,2024-02-11,2024-02,True,280,3,229
bind9,9.18.24,2024-02-11,2024-02,True,280,3,229
bind9,9.16.49,2024-03-12,2024-03,True,272,3,229
bind9,9.18.25,2024-03-12,2024-03,True,272,3,229
bind9,9.16.50,2024-04-03,2024-04,True,312,3,229
bind9,9.18.26,2024-04-03,2024-04,True,312,3,229
bind9,9.18.27,2024-05-03,2024-05,True,422,3,229
bind9,9.18.28,2024-07-08,2024-07,True,385,3,229
bind9,9.20.0,2024-07-08,2024-07,True,385,3,229
bind9,9.18.29,2024-08-13,2024-08,True,344,3,229
bind9,9.20.1,2024-08-13,2024-08,True,344,3,229
bind9,9.18.30,2024-09-09,2024-09,True,407,3,229
bind9,9.20.2,2024-09-09,2024-09,True,407,3,229
bind9,9.18.31,2024-10-07,2024-10,True,493,3,229
bind9,9.20.3,2024-10-07,2024-10,True,493,3,229
bind9,9.18.32,2024-12-03,2024-12,True,367,3,229
bind9,9.20.4,2024-12-03,2024-12,True,367,3,229
bind9,9.18.33,2025-01-20,2025-01,True,370,3,229
bind9,9.20.5,2025-01-20,2025-01,True,370,3,229
bind9,9.18.34,2025-02-11,2025-02,True,343,3,229
bind9,9.20.6,2025-02-11,2025-02,True,343,3,229
bind9,9.18.35,2025-03-11,2025-03,True,359,3,229
bind9,9.20.7,2025-03-11,2025-03,True,359,3,229
bind9,9.18.36,2025-04-09,2025-04,True,260,3,229
bind9,9.20.8,2025-04-09,2025-04,True,260,3,229
bind9,9.20.9,2025-05-08,2025-05,True,278,3,229
bind9,9.18.37,2025-05-09,2025-05,True,278,3,229
bind9,9.20.10,2025-06-06,2025-06,True,327,3,229
bind9,9.18.38,2025-07-04,2025-07,True,354,3,229
bind9,9.20.11,2025-07-04,2025-07,True,354,3,229
bind9,9.18.39,2025-08-13,2025-08,True,497,3,229
bind9,9.20.12,2025-08-13,2025-08,True,497,3,229
bind9,9.20.13,2025-09-04,2025-09,True,447,3,229
bind9,9.18.41,2025-10-18,2025-10,True,477,3,229
bind9,9.20.15,2025-10-18,2025-10,True,477,3,229
bind9,9.18.42,2025-11-07,2025-11,True,289,3,229
bind9,9.20.16,2025-11-07,2025-11,True,289,3,229
bind9,9.18.43,2025-12-11,2025-12,True,308,3,229
bind9,9.20.17,2025-12-11,2025-12,True,308,3,229
bind9,9.18.44,2026-01-09,2026-01,True,407,3,229
bind9,9.20.18,2026-01-09,2026-01,True,407,3,229
bind9,9.18.45,2026-02-04,2026-02,True,424,3,229
bind9,9.20.19,2026-02-04,2026-02,True,424,3,229
bind9,9.18.46,2026-02-26,2026-02,True,424,3,229
bind9,9.20.20,2026-02-26,2026-02,True,424,3,229
bind9,9.18.47,2026-03-13,2026-03,True,406,3,229
bind9,9.20.21,2026-03-13,2026-03,True,406,3,229
bind9,9.18.48,2026-03-31,2026-03,True,406,3,229
bind9,9.20.22,2026-03-31,2026-03,True,406,3,229
bind9,9.18.49,2026-05-08,2026-05,True,405,3,229
bind9,9.20.23,2026-05-08,2026-05,True,405,3,229
bind9,9.18.50,2026-06-08,2026-06,True,437,3,229
bind9,9.20.24,2026-06-08,2026-06,True,437,3,229
bind9,9.20.26,2026-07-20,2026-07,True,306,3,229
bind9,9.20.27,2026-08-05,2026-08,True,142,3,229
knot,0.8.1,2011-12-01,2011-12,True,175,3,229
knot,0.9.1,2012-01-20,2012-01,True,183,3,229
knot,1.0.0,2012-02-29,2012-02,True,86,3,229
knot,1.0.1,2012-03-09,2012-03,True,26,3,229
knot,1.0.2,2012-04-13,2012-04,True,49,3,229
knot,1.0.3,2012-04-17,2012-04,True,49,3,229
knot,1.0.4,2012-05-16,2012-05,True,55,3,229
knot,1.0.5,2012-05-17,2012-05,True,55,3,229
knot,1.0.6,2012-06-13,2012-06,True,52,3,229
knot,1.1.0,2012-08-31,2012-08,True,20,3,229
knot,1.1.1,2012-10-30,2012-10,True,124,3,229
knot,1.1.2,2012-11-21,2012-11,True,220,3,229
knot,1.1.3,2012-12-19,2012-12,True,239,3,229
knot,1.2.0,2013-04-02,2013-04,True,28,3,229
knot,1.3.0,2013-08-05,2013-08,True,113,3,229
knot,1.3.1,2013-08-27,2013-08,True,113,3,229
knot,1.3.2,2013-09-30,2013-09,True,86,3,229
knot,1.3.3,2013-10-28,2013-10,True,266,3,229
knot,1.3.4,2013-12-12,2013-12,True,286,3,229
knot,1.4.0,2013-12-31,2013-12,True,286,3,229
knot,1.4.1,2014-01-13,2014-01,True,180,3,229
knot,1.4.2,2014-01-27,2014-01,True,180,3,229
knot,1.4.3,2014-02-12,2014-02,True,205,3,229
knot,1.4.4,2014-03-27,2014-03,True,193,3,229
knot,1.4.5,2014-04-14,2014-04,True,101,3,229
knot,1.4.6,2014-05-22,2014-05,True,72,3,229
knot,1.4.7,2014-06-17,2014-06,True,77,3,229
knot,1.5.0,2014-07-08,2014-07,True,169,3,229
knot,1.5.1,2014-08-19,2014-08,True,318,3,229
knot,1.5.2,2014-09-08,2014-09,True,462,3,229
knot,1.5.3,2014-09-15,2014-09,True,462,3,229
knot,1.6.0,2014-10-23,2014-10,True,536,3,229
knot,1.6.1,2014-12-12,2014-12,True,213,3,229
knot,1.99.0,2014-12-31,2014-12,True,213,3,229
knot,1.99.1,2015-02-11,2015-02,True,161,3,229
knot,1.6.2,2015-02-19,2015-02,True,161,3,229
knot,1.6.3,2015-04-08,2015-04,True,329,3,229
knot,1.6.4,2015-06-16,2015-06,True,327,3,229
knot,2.0.0,2015-06-26,2015-06,True,327,3,229
knot,1.6.5,2015-09-01,2015-09,True,37,3,229
knot,2.0.1,2015-09-02,2015-09,True,37,3,229
knot,1.6.6,2015-11-24,2015-11,True,372,3,229
knot,2.0.2,2015-11-24,2015-11,True,372,3,229
knot,2.1.0,2016-01-14,2016-01,True,66,3,229
knot,1.6.7,2016-02-08,2016-02,True,58,3,229
knot,2.1.1,2016-02-10,2016-02,True,58,3,229
knot,2.2.0,2016-04-26,2016-04,True,52,3,229
knot,2.2.1,2016-05-24,2016-05,True,22,3,229
knot,1.6.8,2016-08-09,2016-08,True,86,3,229
knot,2.3.0,2016-08-09,2016-08,True,86,3,229
knot,2.3.1,2016-10-10,2016-10,True,806,3,229
knot,2.3.2,2016-11-04,2016-11,True,1062,3,229
knot,2.3.3,2016-12-08,2016-12,True,1077,3,229
knot,2.4.0,2017-01-18,2017-01,True,365,3,229
knot,2.4.1,2017-02-10,2017-02,True,144,3,229
knot,2.4.2,2017-03-23,2017-03,True,153,3,229
knot,2.4.3,2017-04-10,2017-04,True,238,3,229
knot,2.4.4,2017-06-05,2017-06,True,199,3,229
knot,2.5.0,2017-06-05,2017-06,True,199,3,229
knot,2.5.1,2017-06-07,2017-06,True,199,3,229
knot,2.4.5,2017-06-23,2017-06,True,199,3,229
knot,2.5.2,2017-06-23,2017-06,True,199,3,229
knot,2.5.3,2017-07-14,2017-07,True,312,3,229
knot,2.5.4,2017-08-30,2017-08,True,224,3,229
knot,2.5.5,2017-09-29,2017-09,True,211,3,229
knot,2.6.0,2017-09-29,2017-09,True,211,3,229
knot,2.5.6,2017-11-02,2017-11,True,29,3,229
knot,2.6.1,2017-11-02,2017-11,True,29,3,229
knot,2.6.2,2017-11-23,2017-11,True,29,3,229
knot,2.6.3,2017-11-24,2017-11,True,29,3,229
knot,2.5.7,2018-01-01,2018-01,True,70,3,229
knot,2.6.4,2018-01-01,2018-01,True,70,3,229
knot,2.6.5,2018-02-12,2018-02,True,66,3,229
knot,2.6.6,2018-04-11,2018-04,True,180,3,229
knot,2.6.7,2018-05-17,2018-05,True,226,3,229
knot,2.6.8,2018-07-10,2018-07,True,118,3,229
knot,2.7.0,2018-08-03,2018-08,True,76,3,229
knot,2.6.9,2018-08-14,2018-08,True,76,3,229
knot,2.7.1,2018-08-14,2018-08,True,76,3,229
knot,2.7.2,2018-08-29,2018-08,True,76,3,229
knot,2.7.3,2018-10-11,2018-10,True,468,3,229
knot,2.7.4,2018-11-13,2018-11,True,612,3,229
knot,2.7.5,2019-01-07,2019-01,True,574,3,229
knot,2.7.6,2019-01-23,2019-01,True,574,3,229
knot,2.8.0,2019-03-05,2019-03,True,162,3,229
knot,2.8.1,2019-04-09,2019-04,True,463,3,229
knot,2.7.7,2019-04-15,2019-04,True,463,3,229
knot,2.8.2,2019-06-05,2019-06,True,837,3,229
knot,2.7.8,2019-07-16,2019-07,True,458,3,229
knot,2.8.3,2019-07-16,2019-07,True,458,3,229
knot,2.8.4,2019-09-24,2019-09,True,102,3,229
