event,kind,month,rfc,mechanism,products,series,measure,rate_at_month_pp,rate_window_pp_per_month,title,verdict
RFC 8078,rfc_published,2017-03,,,,reverse signed share (strict panel),detrended,-0.0004,0.0019,Managing DS Records from the Parent via CDS/CDNSKEY,measurable
RFC 8080,rfc_published,2017-02,,,,reverse signed share (strict panel),detrended,0.0055,0.0035,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,measurable
RFC 8198,rfc_published,2017-07,,,,reverse signed share (strict panel),detrended,0.0137,0.0047,Aggressive Use of DNSSEC-Validated Cache,not measurable here
RFC 8624,rfc_published,2019-06,,,,reverse signed share (strict panel),detrended,0.0601,0.016,Algorithm Implementation Requirements and Usage Guidance for DNSSEC,ambiguous only
RFC 9077,rfc_published,2021-07,,,,reverse signed share (strict panel),detrended,-0.0065,-0.0008,NSEC and NSEC3: TTLs and Aggressive Use,partly measurable
RFC 9276,rfc_published,2022-08,,,,reverse signed share (strict panel),detrended,-0.0042,-0.0046,Guidance for NSEC3 Parameter Settings,measurable
RFC 9364,rfc_published,2023-02,,,,reverse signed share (strict panel),detrended,0.0067,0.0007,DNS Security Extensions (DNSSEC),not measurable here
RFC 9558,rfc_published,2024-04,,,,reverse signed share (strict panel),detrended,-0.0016,0.0001,Use of GOST 2012 Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC,measurable
RFC 9563,rfc_published,2024-12,,,,reverse signed share (strict panel),detrended,0.0008,0.0007,SM2 Digital Signature Algorithm for DNSSEC,measurable
RFC 9615,rfc_published,2024-07,,,,reverse signed share (strict panel),detrended,0.0025,-0.0011,Automatic DNSSEC Bootstrapping Using Authenticated Signals from the Zone's Operator,not measurable here
RFC 9904,rfc_published,2025-11,,,,reverse signed share (strict panel),detrended,-0.0185,-0.0065,DNSSEC Cryptographic Algorithm Recommendation Update Process,not measurable here
RFC 9905,rfc_published,2025-11,,,,reverse signed share (strict panel),detrended,-0.0185,-0.0065,Deprecating the Use of SHA-1 in DNSSEC Signature Algorithms,measurable
RFC 9906,rfc_published,2025-11,,,,reverse signed share (strict panel),detrended,-0.0185,-0.0065,Deprecate Usage of ECC-GOST within DNSSEC,measurable
CVE-2016-9147,cve_patch,2016-11,RFC 4033,dnssec-other,['bind9'],"forward signed share (7 TLDs, zone-weighted)",raw,-0.2277,-0.1321,,
CVE-2017-15105,cve_patch,2018-03,RFC 4034,nsec,['unbound'],"forward signed share (7 TLDs, zone-weighted)",raw,-0.2876,-0.2753,,
CVE-2018-1000002,cve_patch,2018-01,RFC 4035,validation,"['knot', 'kresd']","forward signed share (7 TLDs, zone-weighted)",raw,2.4684,0.7401,,
CVE-2018-5737,cve_patch,2018-05,RFC 4034,nsec,['bind9'],"forward signed share (7 TLDs, zone-weighted)",raw,0.0966,-0.5705,,
CVE-2019-10190,cve_patch,2019-07,RFC 4035,validation,"['knot', 'kresd']","forward signed share (7 TLDs, zone-weighted)",raw,-0.2693,0.0727,,
CVE-2019-10191,cve_patch,2019-07,RFC 4033,dnssec-other,"['knot', 'kresd']","forward signed share (7 TLDs, zone-weighted)",raw,-0.2693,0.0727,,
CVE-2020-25829,cve_patch,2020-10,RFC 4035,validation,"['pdns-auth', 'pdns-rec']","forward signed share (7 TLDs, zone-weighted)",raw,0.1855,0.0665,,
CVE-2021-40083,cve_patch,2021-10,RFC 5155,nsec3,['kresd'],"forward signed share (7 TLDs, zone-weighted)",raw,1.7996,2.1533,,
CVE-2022-3204,cve_patch,2022-09,RFC 4034,dnskey,['unbound'],"forward signed share (7 TLDs, zone-weighted)",raw,0.1123,0.561,,
CVE-2022-3736,cve_patch,2023-01,RFC 4035,rrsig,['bind9'],"forward signed share (7 TLDs, zone-weighted)",raw,1.008,0.361,,
CVE-2022-38177,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],"forward signed share (7 TLDs, zone-weighted)",raw,0.1123,0.561,,
CVE-2022-38178,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],"forward signed share (7 TLDs, zone-weighted)",raw,0.1123,0.561,,
RFC 8078,rfc_published,2017-03,,,,"forward signed share (7 TLDs, zone-weighted)",raw,-0.2979,-0.7947,Managing DS Records from the Parent via CDS/CDNSKEY,measurable
RFC 8080,rfc_published,2017-02,,,,"forward signed share (7 TLDs, zone-weighted)",raw,-0.4888,-0.5768,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,measurable
RFC 8198,rfc_published,2017-07,,,,"forward signed share (7 TLDs, zone-weighted)",raw,-0.216,-1.1678,Aggressive Use of DNSSEC-Validated Cache,not measurable here
RFC 8624,rfc_published,2019-06,,,,"forward signed share (7 TLDs, zone-weighted)",raw,0.0651,0.0907,Algorithm Implementation Requirements and Usage Guidance for DNSSEC,ambiguous only
RFC 9077,rfc_published,2021-07,,,,"forward signed share (7 TLDs, zone-weighted)",raw,1.3518,2.9079,NSEC and NSEC3: TTLs and Aggressive Use,partly measurable
RFC 9276,rfc_published,2022-08,,,,"forward signed share (7 TLDs, zone-weighted)",raw,-0.082,0.2988,Guidance for NSEC3 Parameter Settings,measurable
RFC 9364,rfc_published,2023-02,,,,"forward signed share (7 TLDs, zone-weighted)",raw,0.3404,0.1268,DNS Security Extensions (DNSSEC),not measurable here
CVE-2016-9147,cve_patch,2016-11,RFC 4033,dnssec-other,['bind9'],"forward signed share (7 TLDs, zone-weighted)",detrended,0.0,0.1103,,
CVE-2017-15105,cve_patch,2018-03,RFC 4034,nsec,['unbound'],"forward signed share (7 TLDs, zone-weighted)",detrended,-0.0716,-0.1739,,
CVE-2018-1000002,cve_patch,2018-01,RFC 4035,validation,"['knot', 'kresd']","forward signed share (7 TLDs, zone-weighted)",detrended,2.72,0.9166,,
CVE-2018-5737,cve_patch,2018-05,RFC 4034,nsec,['bind9'],"forward signed share (7 TLDs, zone-weighted)",detrended,0.3127,-0.5395,,
CVE-2019-10190,cve_patch,2019-07,RFC 4035,validation,"['knot', 'kresd']","forward signed share (7 TLDs, zone-weighted)",detrended,-0.4075,-0.051,,
CVE-2019-10191,cve_patch,2019-07,RFC 4033,dnssec-other,"['knot', 'kresd']","forward signed share (7 TLDs, zone-weighted)",detrended,-0.4075,-0.051,,
CVE-2020-25829,cve_patch,2020-10,RFC 4035,validation,"['pdns-auth', 'pdns-rec']","forward signed share (7 TLDs, zone-weighted)",detrended,0.0268,-0.1032,,
CVE-2021-40083,cve_patch,2021-10,RFC 5155,nsec3,['kresd'],"forward signed share (7 TLDs, zone-weighted)",detrended,1.5489,1.8017,,
CVE-2022-3204,cve_patch,2022-09,RFC 4034,dnskey,['unbound'],"forward signed share (7 TLDs, zone-weighted)",detrended,-0.2281,0.2798,,
CVE-2022-3736,cve_patch,2023-01,RFC 4035,rrsig,['bind9'],"forward signed share (7 TLDs, zone-weighted)",detrended,0.7989,0.1803,,
CVE-2022-38177,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],"forward signed share (7 TLDs, zone-weighted)",detrended,-0.2281,0.2798,,
